symbol,regime,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
MIOTA,Calm / normal,537,-0.0010294616683829178,-0.0015828565143372053,0.042339021554877586,0.4729981378026071,-0.024314725059212443
XRP,Calm / normal,1576,-0.001425136438625566,-0.002368478034499688,0.03652045863865515,0.4536802030456853,-0.03902296114970275
ADA,Calm / normal,494,-0.0026912670486583467,-0.001315406978491307,0.04632945253399509,0.4817813765182186,-0.05808976582841292
AAVE,Calm / normal,22,-0.010924035868263748,-0.006915775465497376,0.056478903206707676,0.45454545454545453,-0.1934179888069491
SOL,Choppy high-vol sideways,250,0.009194061918264829,9.110135146240816E-4,0.07777875725437912,0.516,0.11820787889674314
BTC,Choppy high-vol sideways,70,0.008244284057987475,0.01884197551774136,0.05529644092103419,0.6142857142857143,0.1490924898721906
BNB,Choppy high-vol sideways,315,0.006426520803349113,0.0065284676703525335,0.06866638927917584,0.5714285714285714,0.09359048685698194
ETH,Choppy high-vol sideways,424,0.005377550542274336,-2.8575238605554887E-5,0.060253862910737636,0.5,0.0892482287856107
DOT,Choppy high-vol sideways,113,0.005343161802768501,-0.0024362109168061252,0.07217735973781209,0.49557522123893805,0.0740282246701432
UNI,Choppy high-vol sideways,159,0.004315770873375823,0.004647937166191163,0.07736486626708027,0.5094339622641509,0.05578463560548076
AAVE,Choppy high-vol sideways,120,0.003676997497387091,-5.250528903912866E-4,0.0824820866417704,0.49166666666666664,0.04457934622043126
ATOM,Choppy high-vol sideways,273,0.0033488128781729394,-8.130007920685856E-4,0.06887451243862239,0.4908424908424908,0.04862194677831278
XEM,Choppy high-vol sideways,723,6.301066303406213E-4,-0.0014288357201968083,0.06451971339412209,0.49239280774550487,0.009766110188549375
ADA,Choppy high-vol sideways,366,5.678153985990778E-4,-0.001175519797481872,0.06426068244282503,0.4972677595628415,0.00883612462572714
LINK,Choppy high-vol sideways,522,4.8087117770673015E-4,-0.004085879407175308,0.07351641071373384,0.4827586206896552,0.006541004559909738
EOS,Choppy high-vol sideways,441,-1.830305433522585E-4,0.0023917902928474177,0.06754596659656417,0.5192743764172335,-0.002709718323307977
DOGE,Choppy high-vol sideways,590,-0.001483912301516373,-0.0048296627912334245,0.06926929438860666,0.4661016949152542,-0.021422367798226705
XMR,Choppy high-vol sideways,666,-0.0023239907490814975,-0.005338465018041028,0.06694621608248166,0.4624624624624625,-0.03471429581947103
LTC,Choppy high-vol sideways,470,-0.002497851377550891,-0.0053289199870034665,0.05935329093102358,0.46595744680851064,-0.042084463024194
CRO,Choppy high-vol sideways,151,-0.0028479787312770447,-0.006233273905586145,0.06045681982341711,0.4503311258278146,-0.04710765037915408
XRP,Choppy high-vol sideways,514,-0.003003148628791217,-0.0025742875569078755,0.06143670805224345,0.47470817120622566,-0.048881991304570764
MIOTA,Choppy high-vol sideways,451,-0.003426233407757959,-0.005098634203866359,0.07058852213145278,0.4811529933481153,-0.04853810937389352
XLM,Choppy high-vol sideways,613,-0.004174871837080585,-0.006686780689380889,0.06583542481662474,0.4290375203915171,-0.06341376012548107
TRX,Choppy high-vol sideways,395,-0.0062138424127115835,-0.0051284063321799245,0.07120164744472302,0.46582278481012657,-0.08727104829330899
WBTC,Choppy high-vol sideways,21,-0.006903500200008342,-0.005114284450980833,0.05636638978152264,0.47619047619047616,-0.12247547211674298
WBTC,Sell-off / drawdown,72,0.018029598761197783,0.010105984563862691,0.0466184878473948,0.625,0.3867478246016368
UNI,Sell-off / drawdown,55,0.014985483851741551,0.01952075756403726,0.07909523013866057,0.5818181818181818,0.18946128389121242
XEM,Sell-off / drawdown,377,0.012512214045171242,0.010354215202065475,0.06751995355897573,0.5941644562334217,0.185311354431581
SOL,Sell-off / drawdown,73,0.012283892309646749,0.004284381020953187,0.08116766143718115,0.5205479452054794,0.15133973422597294
BNB,Sell-off / drawdown,195,0.011408236328980388,0.014237494531175177,0.062234014145006775,0.6,0.18331191528797933
ATOM,Sell-off / drawdown,158,0.008540578814632343,0.009053557544009827,0.06752317420072212,0.5759493670886076,0.12648366898813543
AAVE,Sell-off / drawdown,59,0.007974070539286744,0.017938964159537996,0.06917737949043606,0.576271186440678,0.11526991334485542
XLM,Sell-off / drawdown,393,0.007925808351802751,0.009246780818381595,0.05950272138338435,0.5852417302798982,0.13320077078047676
LINK,Sell-off / drawdown,259,0.007885514803416581,0.007141907177490969,0.07150058660312775,0.5598455598455598,0.11028601551461445
ADA,Sell-off / drawdown,248,0.007099049611880086,0.010604210357229249,0.06120906209665015,0.6008064516129032,0.11598036906153808
BTC,Sell-off / drawdown,256,0.007006381037167494,0.008693519314352471,0.04654247494117615,0.578125,0.15053735423444242
MIOTA,Sell-off / drawdown,256,0.006822620803356037,0.014868351442700933,0.0664610338422639,0.609375,0.10265595355541093
TRX,Sell-off / drawdown,235,0.006765161194687112,0.008006095316526629,0.0667738595128815,0.5574468085106383,0.10131451505183744
DOT,Sell-off / drawdown,55,0.006387035416090736,0.005455648386461398,0.07529841529609373,0.5454545454545454,0.08482297258149704
ETH,Sell-off / drawdown,309,0.005337292680941007,0.008797408230194037,0.0612354719578049,0.5825242718446602,0.08716014607707667
XMR,Sell-off / drawdown,440,0.005298816357739953,0.009223273059782766,0.06040708618300433,0.5727272727272728,0.08771845643550982
LTC,Sell-off / drawdown,388,0.0050064769695765555,0.007684087645370319,0.055476705285486434,0.5824742268041238,0.09024467015142529
DOGE,Sell-off / drawdown,335,0.004650610008641767,1.1626499419037373E-4,0.0678467578429408,0.5014925373134328,0.06854579579775227
XRP,Sell-off / drawdown,385,0.0027409441395589555,0.0035693291656202497,0.06222655562966069,0.5324675324675324,0.04404782028868181
CRO,Sell-off / drawdown,133,0.002245902595742438,-6.572195051650631E-4,0.054296389292337044,0.48872180451127817,0.04136375595162102
EOS,Sell-off / drawdown,240,0.0020179342316897744,0.0040178105026515976,0.06640000345266829,0.5416666666666666,0.030390574198210882
