Final schema:
root
 |-- Date: date (nullable = true)
 |-- symbol: string (nullable = true)
 |-- cluster: integer (nullable = true)
 |-- regime: string (nullable = true)


MS4B Step1 — input summary: rows=167,240, symbols=105, span=2013-05-12 → 2021-07-06
Symbols: AAVE, AAVE_x1, AAVE_x2, AAVE_x3, AAVE_x4, ADA, ADA_x1, ADA_x2, ADA_x3, ADA_x4, ATOM, ATOM_x1, ATOM_x2, ATOM_x3, ATOM_x4, BNB, BNB_x1, BNB_x2, BNB_x3, BNB_x4, BTC, BTC_x1, BTC_x2, BTC_x3, BTC_x4, CRO, CRO_x1, CRO_x2, CRO_x3, CRO_x4, DOGE, DOGE_x1, DOGE_x2, DOGE_x3, DOGE_x4, DOT, DOT_x1, DOT_x2, DOT_x3, DOT_x4, EOS, EOS_x1, EOS_x2, EOS_x3, EOS_x4, ETH, ETH_x1, ETH_x2, ETH_x3, ETH_x4, LINK, LINK_x1, LINK_x2, LINK_x3, LINK_x4, LTC, LTC_x1, LTC_x2, LTC_x3, LTC_x4, MIOTA, MIOTA_x1, MIOTA_x2, MIOTA_x3, MIOTA_x4, SOL, SOL_x1, SOL_x2, SOL_x3, SOL_x4, TRX, TRX_x1, TRX_x2, TRX_x3, TRX_x4, UNI, UNI_x1, UNI_x2, UNI_x3, UNI_x4, WBTC, WBTC_x1, WBTC_x2, WBTC_x3, WBTC_x4, XEM, XEM_x1, XEM_x2, XEM_x3, XEM_x4, XLM, XLM_x1, XLM_x2, XLM_x3, XLM_x4, XMR, XMR_x1, XMR_x2, XMR_x3, XMR_x4, XRP, XRP_x1, XRP_x2, XRP_x3, XRP_x4

Counts by regime:
+--------------------------+-----+
|regime                    |count|
+--------------------------+-----+
|Calm / normal             |78105|
|Choppy high-vol sideways  |38255|
|Sell-off / drawdown       |24605|
|Blow-off rally / parabolic|21775|
|Bull impulse              |4500 |
+--------------------------+-----+


Event check — 2020-03-12:
+-------------------+-----+
|regime             |count|
+-------------------+-----+
|Sell-off / drawdown|85   |
+-------------------+-----+


Per-coin distribution (top 3 per coin):
+--------+--------------------------+-----+
|symbol  |regime                    |count|
|ATOM_x4 |Sell-off / drawdown       |158  |
|BNB     |Calm / normal             |660  |
|BNB     |Choppy high-vol sideways  |315  |
|BNB     |Blow-off rally / parabolic|201  |
|BNB_x1  |Calm / normal             |660  |
|BNB_x1  |Choppy high-vol sideways  |315  |
|BNB_x1  |Blow-off rally / parabolic|201  |
|BNB_x2  |Calm / normal             |660  |
|BNB_x2  |Choppy high-vol sideways  |315  |
|BNB_x2  |Blow-off rally / parabolic|201  |
|BNB_x3  |Calm / normal             |660  |
|BNB_x3  |Choppy high-vol sideways  |315  |
|BNB_x3  |Blow-off rally / parabolic|201  |
|BNB_x4  |Calm / normal             |660  |
|BNB_x4  |Choppy high-vol sideways  |315  |
|BNB_x4  |Blow-off rally / parabolic|201  |
|BTC     |Calm / normal             |2294 |
|BTC     |Blow-off rally / parabolic|345  |
|BTC     |Sell-off / drawdown       |256  |
|BTC_x1  |Calm / normal             |2294 |
|BTC_x1  |Blow-off rally / parabolic|345  |
|BTC_x1  |Sell-off / drawdown       |256  |
|BTC_x2  |Calm / normal             |2294 |
|BTC_x2  |Blow-off rally / parabolic|345  |
|BTC_x2  |Sell-off / drawdown       |256  |
|BTC_x3  |Calm / normal             |2294 |
|BTC_x3  |Blow-off rally / parabolic|345  |
|BTC_x3  |Sell-off / drawdown       |256  |
|BTC_x4  |Calm / normal             |2294 |
|BTC_x4  |Blow-off rally / parabolic|345  |
|BTC_x4  |Sell-off / drawdown       |256  |
|CRO     |Calm / normal             |494  |
|CRO     |Choppy high-vol sideways  |151  |
|CRO     |Sell-off / drawdown       |133  |
|CRO_x1  |Calm / normal             |494  |
|CRO_x1  |Choppy high-vol sideways  |151  |
|CRO_x1  |Sell-off / drawdown       |133  |
|CRO_x2  |Calm / normal             |494  |
|CRO_x2  |Choppy high-vol sideways  |151  |
|CRO_x2  |Sell-off / drawdown       |133  |
|CRO_x3  |Calm / normal             |494  |
|CRO_x3  |Choppy high-vol sideways  |151  |
|CRO_x3  |Sell-off / drawdown       |133  |
|CRO_x4  |Calm / normal             |494  |
|CRO_x4  |Choppy high-vol sideways  |151  |
|CRO_x4  |Sell-off / drawdown       |133  |
|DOGE    |Calm / normal             |1433 |
|DOGE    |Choppy high-vol sideways  |590  |
|DOGE    |Sell-off / drawdown       |335  |
|DOGE_x1 |Calm / normal             |1433 |
|DOGE_x1 |Choppy high-vol sideways  |590  |
|DOGE_x1 |Sell-off / drawdown       |335  |
|DOGE_x2 |Calm / normal             |1433 |
|DOGE_x2 |Choppy high-vol sideways  |590  |
|DOGE_x2 |Sell-off / drawdown       |335  |
|DOGE_x3 |Calm / normal             |1433 |
|DOGE_x3 |Choppy high-vol sideways  |590  |
|DOGE_x3 |Sell-off / drawdown       |335  |
|DOGE_x4 |Calm / normal             |1433 |
|DOGE_x4 |Choppy high-vol sideways  |590  |
|DOGE_x4 |Sell-off / drawdown       |335  |
|DOT     |Choppy high-vol sideways  |113  |
|DOT     |Calm / normal             |85   |
|DOT     |Sell-off / drawdown       |55   |
|DOT_x1  |Choppy high-vol sideways  |113  |
|DOT_x1  |Calm / normal             |85   |
|DOT_x1  |Sell-off / drawdown       |55   |
|DOT_x2  |Choppy high-vol sideways  |113  |
|DOT_x2  |Calm / normal             |85   |
|DOT_x2  |Sell-off / drawdown       |55   |
|DOT_x3  |Choppy high-vol sideways  |113  |
|DOT_x3  |Calm / normal             |85   |
|DOT_x3  |Sell-off / drawdown       |55   |
|DOT_x4  |Choppy high-vol sideways  |113  |
|DOT_x4  |Calm / normal             |85   |
|DOT_x4  |Sell-off / drawdown       |55   |
|EOS     |Calm / normal             |552  |
|EOS     |Choppy high-vol sideways  |441  |
|EOS     |Sell-off / drawdown       |240  |
|EOS_x1  |Calm / normal             |552  |
|EOS_x1  |Choppy high-vol sideways  |441  |
|EOS_x1  |Sell-off / drawdown       |240  |
|EOS_x2  |Calm / normal             |552  |
|EOS_x2  |Choppy high-vol sideways  |441  |
|EOS_x2  |Sell-off / drawdown       |240  |
|EOS_x3  |Calm / normal             |552  |
|EOS_x3  |Choppy high-vol sideways  |441  |
|EOS_x3  |Sell-off / drawdown       |240  |
|EOS_x4  |Calm / normal             |552  |
|EOS_x4  |Choppy high-vol sideways  |441  |
|EOS_x4  |Sell-off / drawdown       |240  |
|ETH     |Calm / normal             |1026 |
|ETH     |Choppy high-vol sideways  |424  |
|ETH     |Blow-off rally / parabolic|343  |
|ETH_x1  |Calm / normal             |1026 |
|ETH_x1  |Choppy high-vol sideways  |424  |
|ETH_x1  |Blow-off rally / parabolic|343  |
|ETH_x2  |Calm / normal             |1026 |
|ETH_x2  |Choppy high-vol sideways  |424  |
|ETH_x2  |Blow-off rally / parabolic|343  |
|ETH_x3  |Calm / normal             |1026 |
|ETH_x3  |Choppy high-vol sideways  |424  |
|ETH_x3  |Blow-off rally / parabolic|343  |
|ETH_x4  |Calm / normal             |1026 |
|ETH_x4  |Choppy high-vol sideways  |424  |
|ETH_x4  |Blow-off rally / parabolic|343  |
|LINK    |Choppy high-vol sideways  |522  |
|LINK    |Calm / normal             |332  |
|LINK    |Sell-off / drawdown       |259  |
|LINK_x1 |Choppy high-vol sideways  |522  |
|LINK_x1 |Calm / normal             |332  |
|LINK_x1 |Sell-off / drawdown       |259  |
|LINK_x2 |Choppy high-vol sideways  |522  |
|LINK_x2 |Calm / normal             |332  |
|LINK_x2 |Sell-off / drawdown       |259  |
|LINK_x3 |Choppy high-vol sideways  |522  |
|LINK_x3 |Calm / normal             |332  |
|LINK_x3 |Sell-off / drawdown       |259  |
|LINK_x4 |Choppy high-vol sideways  |522  |
|LINK_x4 |Calm / normal             |332  |
|LINK_x4 |Sell-off / drawdown       |259  |
|LTC     |Calm / normal             |1690 |
|LTC     |Choppy high-vol sideways  |470  |
|LTC     |Sell-off / drawdown       |388  |
|LTC_x1  |Calm / normal             |1690 |
|LTC_x1  |Choppy high-vol sideways  |470  |
|LTC_x1  |Sell-off / drawdown       |388  |
|LTC_x2  |Calm / normal             |1690 |
|LTC_x2  |Choppy high-vol sideways  |470  |
|LTC_x2  |Sell-off / drawdown       |388  |
|LTC_x3  |Calm / normal             |1690 |
|LTC_x3  |Choppy high-vol sideways  |470  |
|LTC_x3  |Sell-off / drawdown       |388  |
|LTC_x4  |Calm / normal             |1690 |
|LTC_x4  |Choppy high-vol sideways  |470  |
|LTC_x4  |Sell-off / drawdown       |388  |
|MIOTA   |Calm / normal             |537  |
|MIOTA   |Choppy high-vol sideways  |451  |
|MIOTA   |Sell-off / drawdown       |256  |
|MIOTA_x1|Calm / normal             |537  |
|MIOTA_x1|Choppy high-vol sideways  |451  |
|MIOTA_x1|Sell-off / drawdown       |256  |
|MIOTA_x2|Calm / normal             |537  |
|MIOTA_x2|Choppy high-vol sideways  |451  |
|MIOTA_x2|Sell-off / drawdown       |256  |
|MIOTA_x3|Calm / normal             |537  |
|MIOTA_x3|Choppy high-vol sideways  |451  |
|MIOTA_x3|Sell-off / drawdown       |256  |
|MIOTA_x4|Calm / normal             |537  |
|MIOTA_x4|Choppy high-vol sideways  |451  |
|MIOTA_x4|Sell-off / drawdown       |256  |
|SOL     |Choppy high-vol sideways  |250  |
|SOL     |Sell-off / drawdown       |73   |
|SOL     |Blow-off rally / parabolic|58   |
|SOL_x1  |Choppy high-vol sideways  |250  |
|SOL_x1  |Sell-off / drawdown       |73   |
+--------+--------------------------+-----+
only showing top 200 rows

[TIMING] Step 1 'Step 1: Input & validation' completed in 2.13s → artifacts/ms5/X5/run_1/analysis_out/_timings.jsonl

Top transitions by count:
-------------------------
+--------------------------+--------------------------+-----+
|regime                    |regime_next               |count|
+--------------------------+--------------------------+-----+
|Calm / normal             |Calm / normal             |60545|
|Choppy high-vol sideways  |Choppy high-vol sideways  |23725|
|Calm / normal             |Blow-off rally / parabolic|9680 |
|Blow-off rally / parabolic|Calm / normal             |8715 |
|Sell-off / drawdown       |Choppy high-vol sideways  |8115 |
|Choppy high-vol sideways  |Sell-off / drawdown       |7750 |
|Calm / normal             |Sell-off / drawdown       |7655 |
|Sell-off / drawdown       |Calm / normal             |7145 |
|Sell-off / drawdown       |Sell-off / drawdown       |5335 |
|Blow-off rally / parabolic|Choppy high-vol sideways  |4935 |
|Choppy high-vol sideways  |Blow-off rally / parabolic|4130 |
|Blow-off rally / parabolic|Blow-off rally / parabolic|4060 |
|Sell-off / drawdown       |Blow-off rally / parabolic|3900 |
|Blow-off rally / parabolic|Sell-off / drawdown       |3445 |
|Bull impulse              |Bull impulse              |2880 |
|Choppy high-vol sideways  |Calm / normal             |1650 |
|Bull impulse              |Choppy high-vol sideways  |1210 |
|Choppy high-vol sideways  |Bull impulse              |915  |
|Blow-off rally / parabolic|Bull impulse              |580  |
|Bull impulse              |Sell-off / drawdown       |375  |
+--------------------------+--------------------------+-----+
only showing top 20 rows


Transition probability matrix (rows sum ≈ 1.0):
-----------------------------------------------
+--------------------------+---------------------+------------------------+-------------------+--------------------------+---------------------+
|regime                    |Calm / normal        |Choppy high-vol sideways|Sell-off / drawdown|Blow-off rally / parabolic|Bull impulse         |
+--------------------------+---------------------+------------------------+-------------------+--------------------------+---------------------+
|Blow-off rally / parabolic|0.4002296211251435   |0.22663605051664754     |0.1582089552238806 |0.18645235361653273       |0.02663605051664753  |
|Bull impulse              |0.0055617352614015575|0.26918798665183535     |0.08342602892102335|0.0011123470522803114     |0.6407119021134594   |
|Calm / normal             |0.7752737051027595   |0.001856712977783469    |0.09802164030987899|0.12395159741340675       |3.2012292720404634E-4|
|Choppy high-vol sideways  |0.04320502749410841  |0.621235925634983       |0.20293270489656978|0.10814349306101073       |0.023959151610369208 |
|Sell-off / drawdown       |0.29068348250610254  |0.33014646053702196     |0.21704637917005695|0.15866558177379983       |0.0034580960130187145|
+--------------------------+---------------------+------------------------+-------------------+--------------------------+---------------------+


Row-sum check (should be ~1.0):
-------------------------------
+--------------------------+------------------+
|regime                    |row_sum           |
+--------------------------+------------------+
|Calm / normal             |0.9994237787310328|
|Blow-off rally / parabolic|0.998163030998852 |
|Bull impulse              |1.0               |
|Sell-off / drawdown       |1.0               |
|Choppy high-vol sideways  |0.999476302697041 |
+--------------------------+------------------+


Diagonal 'stay' probabilities:
------------------------------
+--------------------------+-------------------+
|regime                    |stay_prob          |
+--------------------------+-------------------+
|Blow-off rally / parabolic|0.18645235361653273|
|Bull impulse              |0.6407119021134594 |
|Calm / normal             |0.7752737051027595 |
|Choppy high-vol sideways  |0.621235925634983  |
|Sell-off / drawdown       |0.21704637917005695|
+--------------------------+-------------------+


Dwell-time stats (overall):
---------------------------
+--------------------------+--------+------------------+-------+-------+-------+-------+
|regime                    |num_runs|mean_len          |p50_len|p90_len|min_len|max_len|
+--------------------------+--------+------------------+-------+-------+-------+-------+
|Blow-off rally / parabolic|17715   |1.2291843070843917|1      |2      |1      |6      |
|Bull impulse              |1615    |2.7863777089783284|2      |6      |1      |18     |
|Calm / normal             |17550   |4.450427350427351 |3      |10     |1      |46     |
|Choppy high-vol sideways  |14485   |2.641007939247497 |2      |6      |1      |18     |
|Sell-off / drawdown       |19265   |1.2771866078380483|1      |2      |1      |6      |
+--------------------------+--------+------------------+-------+-------+-------+-------+


Dwell-time per symbol (sample 50 rows):
---------------------------------------
+-------+--------------------------+--------+------------------+-------+-------+-------+
|symbol |regime                    |num_runs|mean_len          |p50_len|p90_len|max_len|
+-------+--------------------------+--------+------------------+-------+-------+-------+
|AAVE   |Blow-off rally / parabolic|32      |1.21875           |1      |2      |3      |
|AAVE   |Bull impulse              |8       |2.625             |2      |5      |5      |
|AAVE   |Calm / normal             |13      |1.6923076923076923|2      |3      |3      |
|AAVE   |Choppy high-vol sideways  |54      |2.240740740740741 |2      |4      |9      |
|AAVE   |Sell-off / drawdown       |45      |1.3111111111111111|1      |2      |3      |
|AAVE_x1|Blow-off rally / parabolic|32      |1.21875           |1      |2      |3      |
|AAVE_x1|Bull impulse              |8       |2.625             |2      |5      |5      |
|AAVE_x1|Calm / normal             |13      |1.6923076923076923|2      |3      |3      |
|AAVE_x1|Choppy high-vol sideways  |54      |2.240740740740741 |2      |4      |9      |
|AAVE_x1|Sell-off / drawdown       |45      |1.3111111111111111|1      |2      |3      |
|AAVE_x2|Blow-off rally / parabolic|32      |1.21875           |1      |2      |3      |
|AAVE_x2|Bull impulse              |8       |2.625             |2      |5      |5      |
|AAVE_x2|Calm / normal             |13      |1.6923076923076923|2      |3      |3      |
|AAVE_x2|Choppy high-vol sideways  |54      |2.240740740740741 |2      |4      |9      |
|AAVE_x2|Sell-off / drawdown       |45      |1.3111111111111111|1      |2      |3      |
|AAVE_x3|Blow-off rally / parabolic|32      |1.21875           |1      |2      |3      |
|AAVE_x3|Bull impulse              |8       |2.625             |2      |5      |5      |
|AAVE_x3|Calm / normal             |13      |1.6923076923076923|2      |3      |3      |
|AAVE_x3|Choppy high-vol sideways  |54      |2.240740740740741 |2      |4      |9      |
|AAVE_x3|Sell-off / drawdown       |45      |1.3111111111111111|1      |2      |3      |
|AAVE_x4|Blow-off rally / parabolic|32      |1.21875           |1      |2      |3      |
|AAVE_x4|Bull impulse              |8       |2.625             |2      |5      |5      |
|AAVE_x4|Calm / normal             |13      |1.6923076923076923|2      |3      |3      |
|AAVE_x4|Choppy high-vol sideways  |54      |2.240740740740741 |2      |4      |9      |
|AAVE_x4|Sell-off / drawdown       |45      |1.3111111111111111|1      |2      |3      |
|ADA    |Blow-off rally / parabolic|166     |1.2650602409638554|1      |2      |5      |
|ADA    |Bull impulse              |11      |3.8181818181818183|1      |9      |9      |
|ADA    |Calm / normal             |154     |3.2142857142857144|2      |7      |26     |
|ADA    |Choppy high-vol sideways  |148     |2.472972972972973 |2      |5      |14     |
|ADA    |Sell-off / drawdown       |191     |1.2984293193717278|1      |2      |6      |
|ADA_x1 |Blow-off rally / parabolic|166     |1.2650602409638554|1      |2      |5      |
|ADA_x1 |Bull impulse              |11      |3.8181818181818183|1      |9      |9      |
|ADA_x1 |Calm / normal             |154     |3.2142857142857144|2      |7      |26     |
|ADA_x1 |Choppy high-vol sideways  |148     |2.472972972972973 |2      |5      |14     |
|ADA_x1 |Sell-off / drawdown       |191     |1.2984293193717278|1      |2      |6      |
|ADA_x2 |Blow-off rally / parabolic|166     |1.2650602409638554|1      |2      |5      |
|ADA_x2 |Bull impulse              |11      |3.8181818181818183|1      |9      |9      |
|ADA_x2 |Calm / normal             |154     |3.2142857142857144|2      |7      |26     |
|ADA_x2 |Choppy high-vol sideways  |148     |2.472972972972973 |2      |5      |14     |
|ADA_x2 |Sell-off / drawdown       |191     |1.2984293193717278|1      |2      |6      |
|ADA_x3 |Blow-off rally / parabolic|166     |1.2650602409638554|1      |2      |5      |
|ADA_x3 |Bull impulse              |11      |3.8181818181818183|1      |9      |9      |
|ADA_x3 |Calm / normal             |154     |3.2142857142857144|2      |7      |26     |
|ADA_x3 |Choppy high-vol sideways  |148     |2.472972972972973 |2      |5      |14     |
|ADA_x3 |Sell-off / drawdown       |191     |1.2984293193717278|1      |2      |6      |
|ADA_x4 |Blow-off rally / parabolic|166     |1.2650602409638554|1      |2      |5      |
|ADA_x4 |Bull impulse              |11      |3.8181818181818183|1      |9      |9      |
|ADA_x4 |Calm / normal             |154     |3.2142857142857144|2      |7      |26     |
|ADA_x4 |Choppy high-vol sideways  |148     |2.472972972972973 |2      |5      |14     |
|ADA_x4 |Sell-off / drawdown       |191     |1.2984293193717278|1      |2      |6      |
+-------+--------------------------+--------+------------------+-------+-------+-------+
only showing top 50 rows


sum equals total rows.
[TIMING] Step 2 'Step 2: Transition stats' completed in 8.08s → artifacts/ms5/X5/run_1/analysis_out/_timings.jsonl

MS4B Step3 — joined rows=167,240 (pred rows=167,240), null ret_1d_w=0

Regime returns — overall (sorted by mean_ret desc):
---------------------------------------------------
+--------------------------+-----+---------------------+----------------------+--------------------+-------------------+-------------------+
|regime                    |n    |mean_ret             |median_ret            |std_ret             |hit_rate           |sharpe_d           |
+--------------------------+-----+---------------------+----------------------+--------------------+-------------------+-------------------+
|Bull impulse              |4500 |0.08594528004729465  |0.11211835848958268   |0.08416600415324368 |0.83               |1.0211400780154822 |
|Blow-off rally / parabolic|21775|0.07948469341442264  |0.06907318771053084   |0.037386814703610896|1.0                |2.126008702387418  |
|Choppy high-vol sideways  |38255|0.005964359821769661 |0.003955281210964223  |0.04440738586375186 |0.5425434583714547 |0.13431008616605264|
|Calm / normal             |78105|-0.001275073468952655|-0.0010249972253291162|0.019578678766956334|0.4796107803597721 |-0.065125613639703 |
|Sell-off / drawdown       |24605|-0.07836690905659657 |-0.07178172428431973  |0.03378632878230023 |4.06421459053038E-4|-2.319485776674586 |
+--------------------------+-----+---------------------+----------------------+--------------------+-------------------+-------------------+


Regime returns — per symbol (top rows by regime):
-------------------------------------------------
+--------+--------------------------+---+-------------------+-------------------+--------------------+--------+------------------+
|symbol  |regime                    |n  |mean_ret           |median_ret         |std_ret             |hit_rate|sharpe_d          |
+--------+--------------------------+---+-------------------+-------------------+--------------------+--------+------------------+
|UNI     |Blow-off rally / parabolic|39 |0.10191242392013519|0.10193271863320352|0.049550961600165665|1.0     |2.0567193981517904|
|UNI_x1  |Blow-off rally / parabolic|39 |0.10191242392013519|0.10193271863320352|0.049550961600165665|1.0     |2.0567193981517904|
|UNI_x2  |Blow-off rally / parabolic|39 |0.10191242392013519|0.10193271863320352|0.049550961600165665|1.0     |2.0567193981517904|
|UNI_x3  |Blow-off rally / parabolic|39 |0.10191242392013519|0.10193271863320352|0.049550961600165665|1.0     |2.0567193981517904|
|UNI_x4  |Blow-off rally / parabolic|39 |0.10191242392013519|0.10193271863320352|0.049550961600165665|1.0     |2.0567193981517904|
|SOL     |Blow-off rally / parabolic|58 |0.10084316415655416|0.09016229651889096|0.04865443268965564 |1.0     |2.0726408382929167|
|SOL_x1  |Blow-off rally / parabolic|58 |0.10084316415655416|0.09016229651889096|0.04865443268965564 |1.0     |2.0726408382929167|
|SOL_x2  |Blow-off rally / parabolic|58 |0.10084316415655416|0.09016229651889096|0.04865443268965564 |1.0     |2.0726408382929167|
|SOL_x3  |Blow-off rally / parabolic|58 |0.10084316415655416|0.09016229651889096|0.04865443268965564 |1.0     |2.0726408382929167|
|SOL_x4  |Blow-off rally / parabolic|58 |0.10084316415655416|0.09016229651889096|0.04865443268965564 |1.0     |2.0726408382929167|
|AAVE    |Blow-off rally / parabolic|39 |0.09742387823926328|0.0801524818085051 |0.04464964961189123 |1.0     |2.1819628840562513|
|AAVE_x1 |Blow-off rally / parabolic|39 |0.09742387823926328|0.0801524818085051 |0.04464964961189123 |1.0     |2.1819628840562513|
|AAVE_x2 |Blow-off rally / parabolic|39 |0.09742387823926328|0.0801524818085051 |0.04464964961189123 |1.0     |2.1819628840562513|
|AAVE_x3 |Blow-off rally / parabolic|39 |0.09742387823926328|0.0801524818085051 |0.04464964961189123 |1.0     |2.1819628840562513|
|AAVE_x4 |Blow-off rally / parabolic|39 |0.09742387823926328|0.0801524818085051 |0.04464964961189123 |1.0     |2.1819628840562513|
|DOT     |Blow-off rally / parabolic|43 |0.09109515984704711|0.08216510453216275|0.042395766506120744|1.0     |2.1486852899309077|
|DOT_x1  |Blow-off rally / parabolic|43 |0.09109515984704711|0.08216510453216275|0.042395766506120744|1.0     |2.1486852899309077|
|DOT_x2  |Blow-off rally / parabolic|43 |0.09109515984704711|0.08216510453216275|0.042395766506120744|1.0     |2.1486852899309077|
|DOT_x3  |Blow-off rally / parabolic|43 |0.09109515984704711|0.08216510453216275|0.042395766506120744|1.0     |2.1486852899309077|
|DOT_x4  |Blow-off rally / parabolic|43 |0.09109515984704711|0.08216510453216275|0.042395766506120744|1.0     |2.1486852899309077|
|XEM     |Blow-off rally / parabolic|290|0.08869701766287039|0.07697975608006957|0.04456949161442814 |1.0     |1.9900836749539492|
|XEM_x1  |Blow-off rally / parabolic|290|0.08869701766287039|0.07697975608006957|0.04456949161442814 |1.0     |1.9900836749539492|
|XEM_x2  |Blow-off rally / parabolic|290|0.08869701766287039|0.07697975608006957|0.04456949161442814 |1.0     |1.9900836749539492|
|XEM_x3  |Blow-off rally / parabolic|290|0.08869701766287039|0.07697975608006957|0.04456949161442814 |1.0     |1.9900836749539492|
|XEM_x4  |Blow-off rally / parabolic|290|0.08869701766287039|0.07697975608006957|0.04456949161442814 |1.0     |1.9900836749539492|
|LINK    |Blow-off rally / parabolic|219|0.08461950067705895|0.07824880496729303|0.03741369848054071 |1.0     |2.261725093045012 |
|LINK_x1 |Blow-off rally / parabolic|219|0.08461950067705895|0.07824880496729303|0.03741369848054071 |1.0     |2.261725093045012 |
|LINK_x2 |Blow-off rally / parabolic|219|0.08461950067705895|0.07824880496729303|0.03741369848054071 |1.0     |2.261725093045012 |
|LINK_x3 |Blow-off rally / parabolic|219|0.08461950067705895|0.07824880496729303|0.03741369848054071 |1.0     |2.261725093045012 |
|LINK_x4 |Blow-off rally / parabolic|219|0.08461950067705895|0.07824880496729303|0.03741369848054071 |1.0     |2.261725093045012 |
|XLM     |Blow-off rally / parabolic|315|0.08428387923497037|0.07200661962390864|0.04147516974180597 |1.0     |2.032152725586419 |
|XLM_x1  |Blow-off rally / parabolic|315|0.08428387923497037|0.07200661962390864|0.04147516974180597 |1.0     |2.032152725586419 |
