symbol,regime,n,mean_ret,median_ret,std_ret,hit_rate,sharpe_d
LINK,Calm / normal,332,-0.0021488094721155504,-0.003949625759228748,0.021543087600439985,0.4608433734939759,-0.0997447307447083
ADA,Calm / normal,495,-0.002192016845434578,-9.882376808714177E-4,0.020773706223444474,0.4808080808080808,-0.1055188141132344
XLM,Calm / normal,1116,-0.0022539343971302943,-0.0018899397545180108,0.020679029658165624,0.45878136200716846,-0.1089961392961334
XRP,Calm / normal,1576,-0.0026970869598115423,-0.0032106539207150675,0.01851071533119257,0.434010152284264,-0.14570409147109822
DOGE,Calm / normal,1433,-0.002953761623167571,-0.0025615809161223524,0.018361096221072903,0.44033496161898117,-0.16087065759056146
UNI,Calm / normal,13,-0.0038986563649093552,-0.008752324973141157,0.01991732243578267,0.46153846153846156,-0.1957419918003227
SOL,Calm / normal,24,-0.004385518930408992,-6.527429925450301E-4,0.02151129503023551,0.5,-0.20387052124220612
AAVE,Choppy high-vol sideways,121,0.014652772069260907,0.013673435792806998,0.05139837199367621,0.5702479338842975,0.28508241605519546
MIOTA,Choppy high-vol sideways,451,0.010790855509818828,0.010240669189047757,0.04848571655056338,0.5742793791574279,0.22255741025432868
ATOM,Choppy high-vol sideways,274,0.010435739404540931,0.007889520103179004,0.041491479867722315,0.5620437956204379,0.25151523729234976
XRP,Choppy high-vol sideways,515,0.009221400191740222,0.0066042177054896345,0.0412097903976366,0.5728155339805825,0.22376721897302038
BTC,Choppy high-vol sideways,70,0.00806656110336959,0.006617573638271423,0.030825735561449383,0.5857142857142857,0.26168268028152486
LINK,Choppy high-vol sideways,522,0.007501178925037615,0.003480707109032144,0.048829340411836696,0.5363984674329502,0.15362032052391308
XMR,Choppy high-vol sideways,666,0.007356750838431302,0.00459669518188055,0.041178238104692975,0.545045045045045,0.17865628004110434
BNB,Choppy high-vol sideways,315,0.006752818001317348,0.0060441455031257085,0.043831598522115274,0.6031746031746031,0.15406278185154956
EOS,Choppy high-vol sideways,441,0.0066961670736372355,0.003909747630363114,0.04407321254121899,0.54421768707483,0.1519328110555753
UNI,Choppy high-vol sideways,159,0.00652325480959568,0.006081805374135385,0.047738626925598375,0.5408805031446541,0.1366452122672549
ADA,Choppy high-vol sideways,366,0.0063544841417374045,0.006812275584791916,0.04119759663529263,0.5765027322404371,0.15424404967093946
SOL,Choppy high-vol sideways,250,0.005248655636064738,9.110135146240816E-4,0.056470762123288595,0.516,0.09294465735393692
LTC,Choppy high-vol sideways,470,0.004880509075799588,0.002047763207195352,0.03675819913169161,0.5446808510638298,0.13277334556881998
TRX,Choppy high-vol sideways,395,0.00437332124492385,0.0027406911281966373,0.0479697500411438,0.5265822784810127,0.09116831422245975
DOT,Choppy high-vol sideways,113,0.004249226663747172,0.0042488257414321495,0.05298864032919262,0.5221238938053098,0.08019127566491224
XEM,Choppy high-vol sideways,724,0.004051693413521841,0.0038440673627366806,0.043982405941884614,0.5414364640883977,0.09212077708698964
WBTC,Choppy high-vol sideways,21,0.0037440347245235963,0.006935111926511084,0.02510850711292279,0.6190476190476191,0.14911419096663953
ETH,Choppy high-vol sideways,424,0.00370101706638797,0.002094901148745179,0.03696933337768626,0.5235849056603774,0.10011046259821955
CRO,Choppy high-vol sideways,151,0.0028815526116267964,0.0019825385830802844,0.030486091955630117,0.5231788079470199,0.09452023617263401
XLM,Choppy high-vol sideways,613,0.002827980226592221,1.4704118187514048E-4,0.043894393497695854,0.5024469820554649,0.06442691198685022
DOGE,Choppy high-vol sideways,590,0.0016927275441841795,1.1626499419037373E-4,0.050143038975098135,0.5033898305084745,0.033757976755753
WBTC,Sell-off / drawdown,72,-0.06586849323054972,-0.0670243424631316,0.01650350603922833,0.0,-3.991181817607866
BTC,Sell-off / drawdown,256,-0.06888797046827108,-0.06753553477435226,0.018917700039923067,0.0,-3.6414559022974777
CRO,Sell-off / drawdown,133,-0.07392276857780389,-0.0642135668425654,0.030945056766873414,0.0,-2.388839326898181
ETH,Sell-off / drawdown,309,-0.074053587366097,-0.06785320134875583,0.03164071898924735,0.0,-2.340452105126406
LTC,Sell-off / drawdown,388,-0.07481382391632656,-0.07091435455212647,0.02960227298742926,0.0,-2.527299979569021
ADA,Sell-off / drawdown,248,-0.07572522755281194,-0.07253405855641226,0.033039581962630515,0.0,-2.291954772262588
XLM,Sell-off / drawdown,393,-0.07600341486568495,-0.06827817931511504,0.03296100215411914,0.0,-2.3058587390731624
DOGE,Sell-off / drawdown,335,-0.07682643856689639,-0.06988935438147337,0.034194711157884146,0.005970149253731343,-2.2467345377527135
BNB,Sell-off / drawdown,195,-0.0773511135884932,-0.07438564922132151,0.030195386476771394,0.0,-2.5616864896893308
XRP,Sell-off / drawdown,385,-0.07756457620538092,-0.07061120525302544,0.03082151291968936,0.0,-2.5165726422154706
XMR,Sell-off / drawdown,440,-0.0784317132880968,-0.0717905196720734,0.03395450698434591,0.0,-2.3099058196974047
ATOM,Sell-off / drawdown,158,-0.07976990407175603,-0.07542837503718003,0.03165434139833406,0.0,-2.520030445996082
DOT,Sell-off / drawdown,55,-0.08048197232018614,-0.07409793083699712,0.030232869158056425,0.0,-2.6620686213878377
XEM,Sell-off / drawdown,377,-0.0806464257415908,-0.0735801064994881,0.035594612439625924,0.0,-2.26569191835927
TRX,Sell-off / drawdown,235,-0.08314411057945899,-0.07425800529710092,0.03800510088551649,0.0,-2.18770924539618
LINK,Sell-off / drawdown,259,-0.08326592632892207,-0.07258216312221522,0.03802004385122402,0.0,-2.190053400641762
MIOTA,Sell-off / drawdown,256,-0.08518081460757412,-0.0765956452428354,0.03839588580478631,0.0,-2.218488070327466
AAVE,Sell-off / drawdown,59,-0.08622973259967266,-0.08363859469145929,0.03568382943006927,0.0,-2.416493240128832
EOS,Sell-off / drawdown,240,-0.08645723610463946,-0.0766047190471757,0.04074358415548502,0.0,-2.1219840594951767
UNI,Sell-off / drawdown,55,-0.08823329012856601,-0.08029003980858596,0.03839063011036885,0.0,-2.2983027336333106
SOL,Sell-off / drawdown,73,-0.09105221605083319,-0.08187500291602512,0.04766960579714289,0.0,-1.9100685757357463
